,name,r_h_mean,r_h_min,r_h_max,r_h_std,r_h_mad
0,"08Х18Н10Т 0,8 + 08Х18Н10Т 0,8 (I)",1.3796346683051013,1.2156862745098038,1.5504589986182333,0.06195590207666579,0.049414881287885716
1,"08Х18Н10Т 0,8 + 08Х18Н10Т 0,8 (II)",1.4533497446289134,1.3043478260869565,1.6251604121239211,0.06280523085765567,0.05094864246043975
2,"08Х18Н10Т 0,8 + 08Х18Н10Т 0,8 (III)",1.5279812464149147,1.307137159385779,1.787644143617499,0.0695375554405225,0.055812726014391224
3,"08Х18Н10Т 0,8 + 08Х18Н10Т 0,8 (IV)",1.5137266084033774,1.3333333333333333,1.6724137931034482,0.060931901034476633,0.04766631445911406
4,"12Х18Н10Т 0,3 + 08Х18Н10Т 0,8 (I)",1.296606229680595,1.0980392156862746,1.52872476501229,0.06579595794756989,0.05110875786514658
5,"12Х18Н10Т 0,3 + 08Х18Н10Т 0,8 (II)",1.2493372318010776,1.103448275862069,1.4095213245571743,0.060939574989894385,0.04852949393667081
6,"12Х18Н10Т 0,3 + 08Х18Н10Т 0,8 (III)",1.3879323303026831,1.188118811881188,1.5871488814841994,0.06755065340667375,0.05270467014906364
7,"12Х18Н10Т 0,3 + 08Х18Н10Т 0,8 (IV)",1.2674393624096245,1.1025641025641026,1.4835163121630122,0.0718576804794081,0.056830848025790165
8,"12Х18Н10Т 0,3 + 12Х18Н10Т 0,3 (I)",1.0362115055792962,0.853450429518687,1.2131521013725777,0.08034549727317966,0.06932831737078195
9,"12Х18Н10Т 0,3 + 12Х18Н10Т 0,3 (II)",1.0233957842164088,0.861147921801811,1.1819162752786239,0.05213695962888317,0.04220279399508949
10,"12Х18Н10Т 0,3 + 12Х18Н10Т 0,3 (III)",1.0142495302399661,0.8936505691553538,1.1690850849918397,0.06326202094122307,0.05496438881312549
